NA      | 103.29.63.253    | NA                  | LK | apnic    | 2011-05-17 | NA
286     | 84.86.224.156    | 84.84.0.0/14        | NL | ripencc  | 2004-03-17 | KPN KPN International / KPN Eurorings,NL
286     | 86.81.29.66      | 86.80.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.81.37.147     | 86.80.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.81.52.242     | 86.80.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.83.145.187    | 86.80.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.84.206.222    | 86.80.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.85.78.193     | 86.80.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.86.6.38       | 86.80.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.87.83.130     | 86.80.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.88.165.42     | 86.88.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.91.135.38     | 86.88.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.92.171.249    | 86.88.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.92.252.236    | 86.88.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.94.144.159    | 86.88.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.94.214.73     | 86.88.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
286     | 86.95.238.115    | 86.88.0.0/13        | NL | ripencc  | 2005-03-23 | KPN KPN International / KPN Eurorings,NL
292     | 198.128.52.14    | 198.128.0.0/14      | US | arin     |            | ESNET-WEST - ESnet,US
376     | 132.205.221.182  | 132.205.0.0/16      | CA | arin     |            | RISQ-AS - Reseau d_informations scientifiques du Quebec (RISQ),CA
378     | 128.139.197.79   | 128.139.0.0/16      | IL | ripencc  | 2004-04-05 | MACHBA-AS ILAN,IL
378     | 128.139.227.150  | 128.139.0.0/16      | IL | ripencc  | 2004-04-05 | MACHBA-AS ILAN,IL
378     | 132.64.6.33      | 132.64.0.0/13       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.65.45.41     | 132.64.0.0/13       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.66.194.89    | 132.64.0.0/13       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.66.223.6     | 132.64.0.0/13       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.66.33.12     | 132.64.0.0/13       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.68.2.75      | 132.64.0.0/13       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.70.248.150   | 132.64.0.0/13       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.72.83.188    | 132.72.0.0/14       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.74.165.121   | 132.72.0.0/14       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 132.77.23.199    | 132.76.0.0/15       | IL | ripencc  |            | MACHBA-AS ILAN,IL
378     | 192.114.0.107    | 192.114.0.0/21      | IL | ripencc  |            | MACHBA-AS ILAN,IL
513     | 137.138.32.177   | 137.138.0.0/16      | CH | ripencc  |            | CERN CERN - European Organization for Nuclear Research,CH
513     | 192.65.184.54    | 192.65.184.0/21     | CH | ripencc  |            | CERN CERN - European Organization for Nuclear Research,CH
546     | 192.94.214.98    | 192.94.214.0/24     | US | arin     |            | PARSONS-PGS-1 - Parsons Corporation,US
553     | 129.143.4.230    | 129.143.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 129.143.47.98    | 129.143.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 129.143.67.138   | 129.143.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 129.143.67.253   | 129.143.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 129.206.111.235  | 129.206.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 132.230.9.18     | 132.230.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.103.248.108  | 134.103.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.103.248.117  | 134.103.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.108.3.253    | 134.108.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.108.67.253   | 134.108.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.155.48.39    | 134.155.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.155.52.34    | 134.155.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.2.4.86       | 134.2.0.0/16        | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.34.20.56     | 134.34.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 134.60.55.204    | 134.60.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.10.85.177    | 141.10.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.18.1.243     | 141.18.0.0/15       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.19.171.248   | 141.18.0.0/15       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.28.12.179    | 141.28.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.28.167.200   | 141.28.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.28.192.184   | 141.28.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.31.232.122   | 141.31.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.37.128.2     | 141.37.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.59.41.189    | 141.58.0.0/15       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.62.7.249     | 141.62.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.7.123.70     | 141.7.0.0/16        | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.7.173.11     | 141.7.0.0/16        | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.70.0.19      | 141.70.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.72.231.217   | 141.72.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.72.251.52    | 141.72.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.79.156.20    | 141.79.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.79.157.20    | 141.79.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.87.144.9     | 141.87.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 141.87.36.3      | 141.87.0.0/16       | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 147.142.184.242  | 147.142.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.196.11.188   | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.196.133.6    | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.196.133.6    | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.196.149.243  | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.196.161.124  | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.196.167.249  | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.196.182.15   | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.197.136.53   | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
553     | 193.197.36.201   | 193.196.0.0/15      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
557     | 130.111.39.128   | 130.111.0.0/16      | US | arin     |            | UMAINE-SYS-AS - University of Maine System,US
559     | 130.59.80.2      | 130.59.0.0/16       | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 130.59.94.98     | 130.59.0.0/16       | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 130.60.156.103   | 130.60.0.0/16       | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 130.60.156.95    | 130.60.0.0/16       | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 147.87.254.14    | 147.87.0.0/16       | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 161.62.252.14    | 161.62.0.0/16       | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 192.33.93.149    | 192.33.88.0/21      | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 193.5.27.53      | 193.5.26.0/23       | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 195.176.0.122    | 195.176.0.0/17      | CH | ripencc  |            | SWITCH SWITCH,CH
559     | 82.130.102.103   | 82.130.64.0/18      | CH | ripencc  | 2004-01-29 | SWITCH SWITCH,CH
577     | 174.88.231.238   | 174.88.0.0/16       | CA | arin     | 2009-02-27 | BACOM - Bell Canada,CA
577     | 174.92.46.39     | 174.92.0.0/16       | CA | arin     | 2009-02-27 | BACOM - Bell Canada,CA
577     | 184.147.155.105  | 184.147.0.0/16      | CA | arin     | 2010-04-12 | BACOM - Bell Canada,CA
577     | 204.101.56.122   | 204.101.0.0/16      | CA | arin     |            | BACOM - Bell Canada,CA
577     | 209.226.15.194   | 209.226.0.0/16      | CA | arin     |            | BACOM - Bell Canada,CA
577     | 50.101.105.216   | 50.101.0.0/16       | CA | arin     | 2011-05-19 | BACOM - Bell Canada,CA
577     | 65.93.123.1      | 65.93.0.0/16        | CA | arin     | 2001-01-02 | BACOM - Bell Canada,CA
577     | 65.94.30.242     | 65.94.0.0/16        | CA | arin     | 2001-01-02 | BACOM - Bell Canada,CA
577     | 65.95.138.188    | 65.95.0.0/16        | CA | arin     | 2001-01-02 | BACOM - Bell Canada,CA
577     | 69.156.177.200   | 69.156.0.0/16       | CA | arin     | 2003-11-25 | BACOM - Bell Canada,CA
577     | 69.157.244.10    | 69.157.0.0/16       | CA | arin     | 2003-11-25 | BACOM - Bell Canada,CA
577     | 69.159.116.183   | 69.159.0.0/16       | CA | arin     | 2003-11-25 | BACOM - Bell Canada,CA
577     | 70.24.120.150    | 70.24.0.0/16        | CA | arin     | 2008-01-28 | BACOM - Bell Canada,CA
577     | 70.24.42.241     | 70.24.0.0/16        | CA | arin     | 2008-01-28 | BACOM - Bell Canada,CA
577     | 70.29.147.181    | 70.29.0.0/16        | CA | arin     | 2008-01-28 | BACOM - Bell Canada,CA
577     | 70.30.12.254     | 70.30.0.0/16        | CA | arin     | 2008-01-28 | BACOM - Bell Canada,CA
577     | 70.30.212.102    | 70.30.0.0/16        | CA | arin     | 2008-01-28 | BACOM - Bell Canada,CA
577     | 70.30.232.248    | 70.30.0.0/16        | CA | arin     | 2008-01-28 | BACOM - Bell Canada,CA
577     | 70.50.162.230    | 70.50.0.0/16        | CA | arin     | 2004-05-10 | BACOM - Bell Canada,CA
577     | 70.53.79.218     | 70.53.0.0/16        | CA | arin     | 2004-05-10 | BACOM - Bell Canada,CA
577     | 74.12.174.60     | 74.12.0.0/16        | CA | arin     | 2006-01-19 | BACOM - Bell Canada,CA
577     | 74.12.67.12      | 74.12.0.0/16        | CA | arin     | 2006-01-19 | BACOM - Bell Canada,CA
577     | 74.14.175.234    | 74.14.0.0/16        | CA | arin     | 2006-01-19 | BACOM - Bell Canada,CA
680     | 130.149.152.130  | 130.149.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 130.149.58.159   | 130.149.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 131.173.17.239   | 131.173.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 131.188.24.12    | 131.188.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 131.188.37.64    | 131.188.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 134.102.132.131  | 134.102.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 134.102.186.10   | 134.102.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
